Symbol,Name,Market Cap,Industry,Sector
MSFT,Microsoft Corporation,3022423064576,software-infrastructure,Technology
ORCL,Oracle Corporation,318277451776,software-infrastructure,Technology
ADBE,Adobe Inc.,217808633856,software-infrastructure,Technology
PANW,"Palo Alto Networks, Inc.",95705448448,software-infrastructure,Technology
SNPS,"Synopsys, Inc.",81906974720,software-infrastructure,Technology
CRWD,"CrowdStrike Holdings, Inc.",75030175744,software-infrastructure,Technology
PLTR,Palantir Technologies Inc.,51955679232,software-infrastructure,Technology
FTNT,"Fortinet, Inc.",44944691200,software-infrastructure,Technology
SQ,"Block, Inc.",42865840128,software-infrastructure,Technology
ZS,"Zscaler, Inc.",26541350912,software-infrastructure,Technology
MDB,"MongoDB, Inc.",26426767360,software-infrastructure,Technology
NET,"Cloudflare, Inc.",25280600064,software-infrastructure,Technology
CPAY,"Corpay, Inc.",21309237248,software-infrastructure,Technology
IOT,Samsara Inc.,20936388608,software-infrastructure,Technology
GDDY,GoDaddy Inc.,17425944576,software-infrastructure,Technology
CHKP,Check Point Software Technologies Ltd.,17071386624,software-infrastructure,Technology
VRSN,"VeriSign, Inc.",16758695936,software-infrastructure,Technology
OKTA,"Okta, Inc.",16162180096,software-infrastructure,Technology
AKAM,"Akamai Technologies, Inc.",15270541312,software-infrastructure,Technology
NTNX,"Nutanix, Inc.",15207036928,software-infrastructure,Technology
GEN,Gen Digital Inc.,12757308416,software-infrastructure,Technology
TOST,"Toast, Inc.",12586590208,software-infrastructure,Technology
PATH,UiPath Inc.,11084352512,software-infrastructure,Technology
AFRM,"Affirm Holdings, Inc.",10719108096,software-infrastructure,Technology
DOX,Amdocs Limited,9774518272,software-infrastructure,Technology
FFIV,"F5, Inc.",9725577216,software-infrastructure,Technology
CYBR,CyberArk Software Ltd.,9618409472,software-infrastructure,Technology
CFLT,"Confluent, Inc.",8944115712,software-infrastructure,Technology
INFA,Informatica Inc.,8941078528,software-infrastructure,Technology
WEX,WEX Inc.,8853575680,software-infrastructure,Technology
GTLB,GitLab Inc.,8667114496,software-infrastructure,Technology
DBX,"Dropbox, Inc.",7908057600,software-infrastructure,Technology
ALTR,Altair Engineering Inc.,6764689920,software-infrastructure,Technology
SPSC,"SPS Commerce, Inc.",6755098624,software-infrastructure,Technology
WIX,Wix.com Ltd.,6668036096,software-infrastructure,Technology
CCCS,CCC Intelligent Solutions Holdings Inc.,6643653120,software-infrastructure,Technology
HCP,"HashiCorp, Inc.",6599105024,software-infrastructure,Technology
S,"SentinelOne, Inc.",6587670016,software-infrastructure,Technology
QLYS,"Qualys, Inc.",6114935808,software-infrastructure,Technology
KVYO,"Klaviyo, Inc.",5939260928,software-infrastructure,Technology
TENB,"Tenable Holdings, Inc.",5295937536,software-infrastructure,Technology
STNE,StoneCo Ltd.,5169569792,software-infrastructure,Technology
FOUR,"Shift4 Payments, Inc.",5127154176,software-infrastructure,Technology
EEFT,"Euronet Worldwide, Inc.",5055518208,software-infrastructure,Technology
VRNS,"Varonis Systems, Inc.",4884250624,software-infrastructure,Technology
SQSP,"Squarespace, Inc.",4842680832,software-infrastructure,Technology
FIVN,"Five9, Inc.",4275479808,software-infrastructure,Technology
DLO,DLocal Limited,4115685120,software-infrastructure,Technology
PAGS,PagSeguro Digital Ltd.,4046281984,software-infrastructure,Technology
BOX,"Box, Inc.",3773387008,software-infrastructure,Technology
ACIW,"ACI Worldwide, Inc.",3703052800,software-infrastructure,Technology
TDC,Teradata Corporation,3637536256,software-infrastructure,Technology
DOCN,"DigitalOcean Holdings, Inc.",3122403840,software-infrastructure,Technology
RELY,"Remitly Global, Inc.",2869891584,software-infrastructure,Technology
MQ,"Marqeta, Inc.",2854626304,software-infrastructure,Technology
RPD,"Rapid7, Inc.",2815163392,software-infrastructure,Technology
PAY,"Paymentus Holdings, Inc.",2604861440,software-infrastructure,Technology
AVDX,"AvidXchange Holdings, Inc.",2501955840,software-infrastructure,Technology
FLYW,Flywire Corporation,2459114240,software-infrastructure,Technology
EVTC,"EVERTEC, Inc.",2341281536,software-infrastructure,Technology
APPN,Appian Corporation,2310283264,software-infrastructure,Technology
CLBT,Cellebrite DI Ltd.,2200783872,software-infrastructure,Technology
PRGS,Progress Software Corporation,2182946048,software-infrastructure,Technology
RAMP,"LiveRamp Holdings, Inc.",2154941440,software-infrastructure,Technology
SWI,SolarWinds Corporation,1967495424,software-infrastructure,Technology
VRNT,Verint Systems Inc.,1949265664,software-infrastructure,Technology
ODD,Oddity Tech Ltd.,1911289856,software-infrastructure,Technology
PAYO,Payoneer Global Inc.,1893376896,software-infrastructure,Technology
EVCM,EverCommerce Inc.,1768909440,software-infrastructure,Technology
GCT,GigaCloud Technology Inc.,1520519168,software-infrastructure,Technology
STER,Sterling Check Corp.,1512468864,software-infrastructure,Technology
AVPT,"AvePoint, Inc.",1497572736,software-infrastructure,Technology
ZUO,"Zuora, Inc.",1471680000,software-infrastructure,Technology
NTCT,"NetScout Systems, Inc.",1427095296,software-infrastructure,Technology
BASE,"Couchbase, Inc.",1299714176,software-infrastructure,Technology
CSGS,"CSG Systems International, Inc.",1237906176,software-infrastructure,Technology
ATEN,"A10 Networks, Inc.",1127675008,software-infrastructure,Technology
AILE,"iLearningEngines, Inc.",1028471360,software-infrastructure,Technology
GB,Global Blue Group Holding AG,1016834624,software-infrastructure,Technology
NN,NextNav Inc.,1015228096,software-infrastructure,Technology
RPAY,Repay Holdings Corporation,1005513920,software-infrastructure,Technology
PSFE,Paysafe Limited,927025408,software-infrastructure,Technology
IIIV,"i3 Verticals, Inc.",747546240,software-infrastructure,Technology
PGY,Pagaya Technologies Ltd.,733696768,software-infrastructure,Technology
RDWR,Radware Ltd.,704109312,software-infrastructure,Technology
YEXT,"Yext, Inc.",685380160,software-infrastructure,Technology
IMXI,"International Money Express, Inc.",660007168,software-infrastructure,Technology
BAND,Bandwidth Inc.,519609760,software-infrastructure,Technology
CGNT,Cognyte Software Ltd.,517051136,software-infrastructure,Technology
FAAS,DigiAsia Corp.,516487232,software-infrastructure,Technology
SCWX,SecureWorks Corp.,511736416,software-infrastructure,Technology
OSPN,OneSpan Inc.,468145120,software-infrastructure,Technology
BLZE,"Backblaze, Inc.",388286848,software-infrastructure,Technology
CCSI,"Consensus Cloud Solutions, Inc.",234678640,software-infrastructure,Technology
TCX,Tucows Inc.,200321232,software-infrastructure,Technology
AISP,"Airship AI Holdings, Inc.",139880960,software-infrastructure,Technology
AUID,authID Inc.,84579464,software-infrastructure,Technology
SNCR,"Synchronoss Technologies, Inc.",66529812,software-infrastructure,Technology
KPLT,"Katapult Holdings, Inc.",56838484,software-infrastructure,Technology
EGIO,"Edgio, Inc.",52698152,software-infrastructure,Technology
GRRR,Gorilla Technology Group Inc.,49061288,software-infrastructure,Technology
BKKT,"Bakkt Holdings, Inc.",40109420,software-infrastructure,Technology
DTSS,Datasea Inc.,22936344,software-infrastructure,Technology
VHC,VirnetX Holding Corporation,19102626,software-infrastructure,Technology
NVDA,NVIDIA Corporation,2219575083008,semiconductors,Technology
AVGO,Broadcom Inc.,592302964736,semiconductors,Technology
AMD,"Advanced Micro Devices, Inc.",243383959552,semiconductors,Technology
QCOM,QUALCOMM Incorporated,200478244864,semiconductors,Technology
TXN,Texas Instruments Incorporated,162894331904,semiconductors,Technology
INTC,Intel Corporation,133718507520,semiconductors,Technology
MU,"Micron Technology, Inc.",126998724608,semiconductors,Technology
ADI,"Analog Devices, Inc.",98998116352,semiconductors,Technology
NXPI,NXP Semiconductors N.V.,65928122368,semiconductors,Technology
MRVL,"Marvell Technology, Inc.",59355639808,semiconductors,Technology
MCHP,Microchip Technology Incorporated,49369845760,semiconductors,Technology
MPWR,"Monolithic Power Systems, Inc.",34417565696,semiconductors,Technology
ON,ON Semiconductor Corporation,30266820608,semiconductors,Technology
GFS,GLOBALFOUNDRIES Inc.,27273312256,semiconductors,Technology
SWKS,"Skyworks Solutions, Inc.",14842952704,semiconductors,Technology
ALAB,"Astera Labs, Inc.",11965201408,semiconductors,Technology
LSCC,Lattice Semiconductor Corporation,9754762240,semiconductors,Technology
QRVO,"Qorvo, Inc.",9263827968,semiconductors,Technology
MTSI,"MACOM Technology Solutions Holdings, Inc.",7416163840,semiconductors,Technology
RMBS,Rambus Inc.,6088829952,semiconductors,Technology
ALGM,"Allegro MicroSystems, Inc.",5787985920,semiconductors,Technology
CRUS,"Cirrus Logic, Inc.",4772169216,semiconductors,Technology
FORM,"FormFactor, Inc.",4180582912,semiconductors,Technology
SLAB,Silicon Laboratories Inc.,3906588928,semiconductors,Technology
POWI,"Power Integrations, Inc.",3902337792,semiconductors,Technology
SYNA,Synaptics Incorporated,3549508096,semiconductors,Technology
DIOD,Diodes Incorporated,3361340416,semiconductors,Technology
WOLF,"Wolfspeed, Inc.",3187907072,semiconductors,Technology
VSH,"Vishay Intertechnology, Inc.",3132127488,semiconductors,Technology
SMTC,Semtech Corporation,2519710464,semiconductors,Technology
SITM,SiTime Corporation,2109895936,semiconductors,Technology
MXL,"MaxLinear, Inc.",1661728640,semiconductors,Technology
SGH,"SMART Global Holdings, Inc.",974293056,semiconductors,Technology
AOSL,Alpha and Omega Semiconductor Limited,632305024,semiconductors,Technology
